(58.227.133.60:3310, 227.176.178.135:17712, 0) x 14
(138.54.191.187:26975, 114.46.191.144:32799, 0) x 7
(53.30.190.95:41254, 191.195.192.156:64019, 0) x 4
(22.216.207.71:58742, 242.223.184.91:51612, 0) x 4
(109.135.18.135:48767, 19.94.151.133:60158, 0) x 3
(194.158.250.124:31049, 249.65.220.68:11212, 0) x 3
(82.176.92.74:18722, 166.72.58.43:61940, 0) x 3
(44.197.190.236:34643, 78.164.46.234:58815, 0) x 3
(14.181.108.10:29456, 151.175.155.122:22712, 0) x 3
(174.21.147.178:62822, 102.211.196.103:15192, 0) x 3
(254.28.112.105:26163, 237.19.103.56:24196, 0) x 3
(158.243.141.56:2440, 26.166.83.166:1908, 0) x 2
(169.80.70.110:54820, 48.66.88.150:16882, 0) x 2
(16.136.128.9:29344, 41.158.143.166:52521, 0) x 2
(137.219.135.181:20785, 187.71.164.82:25546, 0) x 2
(171.94.47.130:32430, 231.140.186.122:6964, 0) x 2
(42.41.27.171:65031, 43.41.242.43:55986, 0) x 2
(2.62.241.24:9136, 123.119.216.137:31102, 0) x 2
(132.102.158.202:38540, 173.203.102.5:52740, 0) x 2
(223.133.252.30:28084, 165.190.89.220:62530, 0) x 2
(160.47.64.87:57987, 57.72.82.173:11342, 0) x 2
(169.138.162.186:57253, 6.222.160.58:2653, 0) x 2
(20.52.178.85:53923, 193.14.150.198:59044, 0) x 2
(104.229.3.231:22945, 93.120.70.12:54081, 0) x 1
(82.158.41.148:4743, 172.122.50.201:48943, 0) x 1
(201.171.188.148:3428, 174.205.202.112:28491, 0) x 1
(184.146.197.201:56643, 195.15.125.202:15148, 0) x 1
(216.19.252.10:24027, 113.232.1.156:35933, 0) x 1
(99.190.192.97:27714, 65.4.162.99:62999, 0) x 1
(180.80.150.165:53741, 254.14.13.189:7153, 0) x 1
(248.159.171.45:19533, 12.188.185.253:50002, 0) x 1
(153.97.227.65:27826, 23.163.61.38:7322, 0) x 1
(241.206.96.20:25582, 203.216.183.208:57906, 0) x 1
(164.182.40.174:39597, 138.186.1.144:47881, 0) x 1
(150.130.156.95:10339, 224.198.241.145:18116, 0) x 1
(225.58.142.113:2855, 231.246.183.52:57468, 0) x 1
(88.137.163.138:10850, 236.195.79.228:52688, 0) x 1
(232.171.109.83:15077, 174.196.136.3:39279, 0) x 1
(129.230.254.242:24461, 99.0.22.62:23181, 0) x 1
(18.182.178.68:61964, 179.158.238.59:39264, 0) x 1
(46.122.189.106:6328, 119.128.53.55:55983, 0) x 1
(70.178.66.136:29918, 178.126.100.177:50008, 0) x 1
(71.84.160.19:49326, 112.221.169.78:35900, 0) x 1
(159.146.93.127:42753, 223.181.84.243:38188, 0) x 1
(127.221.251.107:19558, 51.107.226.38:31020, 0) x 1
(61.232.184.197:26622, 224.118.90.253:53039, 0) x 1
(21.228.80.55:11380, 55.132.231.150:38098, 0) x 1
(223.114.200.198:41989, 233.80.148.215:51214, 0) x 1
(79.19.233.246:39150, 65.176.56.64:42623, 0) x 1
